회사명,종목코드,업종,주요제품
케이맥,043290,특수 목적용 기계 제조업,"FPD, 반도체 공정용 검사장비 및 바이오/의료진단기기, Lab용 분석기기"
로보스타,090360,특수 목적용 기계 제조업,"제조용 로봇, FPD 장비, IT부품 제조장비"
대한과학,131220,기계장비 및 관련 물품 도매업,"의료, 정밀 및 연구실험기기 제조 및 유통"
피앤이솔루션,131390,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2차전지 공정용 장비, 산업용 정류기"
아이디스,143160,통신 및 방송 장비 제조업,"영상보안장치(DVR,NVR,IP-Camera 등)"
화진,134780,자동차 부품 제조업,"우드그레인, IPE"
제이씨케미칼,137950,기타 화학제품 제조업,"바이오디젤, 글리세린 등"
아이씨디,040910,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입"
제닉,123330,기타 화학제품 제조업,"하이드로겔 마스크 팩, 기타화장품"
아이지스시스템,139050,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","용역서비스(ITS,BIS,ATMS,BRT)"
상아프론테크,089980,플라스틱제품 제조업,"LCD 부품, 사무기기 부품, PCB 부품, 2차전지 부품"
나이벡,138610,의료용품 및 기타 의약관련제품 제조업,"치아미백제,치과용 골이식재"
옵티시스,109080,통신 및 방송 장비 제조업,광링크 모듈 등
대양전기공업,108380,선박 및 보트 건조업,"해상용 조명등기구, (함정용)전자시스템, 배전반류 등"
서연탑메탈,019770,특수 목적용 기계 제조업,자동차금형.건설중장비 부품
넥스트아이,137940,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","LCD 편광필름 검사장비, BLU 검사장비 등"
리켐,131100,기초화학물질 제조업,"이차전지 전해액 소재, LCD 공정용 에천트 소재"
완리,900180,"회사본부, 지주회사 및 경영컨설팅 서비스업",외벽타일
엘아이에스,138690,특수 목적용 기계 제조업,"LGP Engraving M/C, Cell Sealing M/C"
KMH,122450,텔레비전 방송업,방송채널사업 및 방송송출서비스
골프존뉴딘,121440,"회사본부, 지주회사 및 경영컨설팅 서비스업",골프시뮬레이터
윈스,136540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","네크워크보안장비(IPS, 안티 DDoS)"
하림,136480,"도축, 육류 가공 및 저장 처리업","육계, 육계가공식품"
이퓨쳐,134060,"서적, 잡지 및 기타 인쇄물 출판업",Smart Phonics 등(외국어 어학교재)
티케이케미칼,104480,화학섬유 제조업,"수지, 폴리에스터, 스판덱스"
부스타,008470,"구조용 금속제품, 탱크 및 증기발생기 제조업","관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매"
나노신소재,121600,기타 화학제품 제조업,"인듐계 산화물 TCO Target, 반도체 CMP Slurry 등"
케이아이엔엑스,093320,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",인터넷연동서비스 등
티피씨글로벌,130740,자동차 부품 제조업,"정밀인발강관, 정밀강관, Water pipe, Filler Neck 등"
딜리,131180,컴퓨터 및 주변장치 제조업,디지털 UV 프린터
엘비세미콘,061970,반도체 제조업,"골드범핑, 솔더범핑 등"
제이엔케이히터,126880,일반 목적용 기계 제조업,산업용가열로
블루콤,033560,영상 및 음향기기 제조업,"마이크로스피커, 블루투스헤드셋, Linear 진동모터"
인트론바이오,048530,기초 의약물질 및 생물학적 제제 제조업,"바이오신약, 핵산검사제, 동물용 항생제 대체재"
다나와,119860,소프트웨어 개발 및 공급업,"인터넷쇼핑몰 가격비교서비스, 온라인광고"
씨그널엔터테인먼트그룹,099830,"영화, 비디오물, 방송프로그램 제작 및 배급업",엔터테인먼트
알서포트,131370,소프트웨어 개발 및 공급업,"원격지원,제어 솔루션"
인텍플러스,064290,특수 목적용 기계 제조업,"LED 외관검사장비, 반도체 외관검사장비, 태양전지 외관검사장비등"
티에스이,131290,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","Probe Card, Test Interface Board, LED Test Equipment"
액트,131400,전자부품 제조업,연성회로기판
대정화금,120240,기초화학물질 제조업,"시약, 원료의약품"
피제이메탈,128660,1차 비철금속 제조업,"탈산제, 조재제"
디에이치피코리아,131030,의약품 제조업,티어린프리점안액
제이스테판,096690,컴퓨터 및 주변장치 제조업,"POS프린터, Mobile프린터, Label프린터"
티비씨,033830,텔레비전 방송업,"텔레비젼 방송,문화서비스,광고/출판,음반 제작,도매"
시그네틱스,033170,반도체 제조업,반도체 패키징
썬텍,122800,금속 주조업,열간 압연롤
한국전자인증,041460,소프트웨어 개발 및 공급업,"개인용이메일 보안,인증업무,전자상거래관련 인증서비스/기업용 인증솔루션 제공"
디케이락,105740,일반 목적용 기계 제조업,"DK-Lok 피팅, D-Pro 밸브"
코프라,126600,합성고무 및 플라스틱 물질 제조업,엔지니어링 플라스틱 칩
선데이토즈,123420,소프트웨어 개발 및 공급업,"애니팡, 애니팡 사천성, 아쿠아스토리 등"
삼본정밀전자,111870,영상 및 음향기기 제조업,"이어폰,헤드폰,키패드"
아나패스,123860,반도체 제조업,Timing Controller(TCON)
KNN,058400,텔레비전 방송업,방송프로그램 제작 및 송출
누리플랜,069140,"구조용 금속제품, 탱크 및 증기발생기 제조업","경관조명, 경관시설"
아이텍반도체,119830,"그외 기타 전문, 과학 및 기술 서비스업",비메모리 반도체 테스트
인화정공,101930,선박 및 보트 건조업,선박엔진부품
코렌,078650,"안경, 사진장비 및 기타 광학기기 제조업",카메라폰용 렌즈
아이씨케이,068940,전자부품 제조업,신용카드 및 전자화폐 등
CJ E&M,130960,텔레비전 방송업,방송게임영화음악
한일진공,123840,특수 목적용 기계 제조업,진공장비
알파홀딩스,117670,반도체 제조업,시스템 반도체 개발
포메탈,119500,기타 금속가공제품 제조업,"자동차,풍력,방위산업,산업기계,농기계등의 단조부품"
다원시스,068240,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","핵융합 전원장치, 플라즈마 전원장치, 태양광 CVD 전원장치, 산업용 특수정류기"
씨젠,096530,의료용품 및 기타 의약관련제품 제조업,"호흡기성 병원체 검사제품, 성감염증원인균 검사제품"
와이솔,122990,전자부품 제조업,"SAW Filter, Wafer Chip, Duplexer"
하이비젼시스템,126700,"안경, 사진장비 및 기타 광학기기 제조업",카메라모듈 제조검사용 장비
화신정공,126640,자동차 부품 제조업,자동차부품
코리아에프티,123410,자동차 부품 제조업,"캐니스터,플라스틱필러넥,의장부품"
엠에스오토텍,123040,자동차 부품 제조업,자동차 차체 부품
이글루시큐리티,067920,소프트웨어 개발 및 공급업,"통합보안관리솔루션, 보안관제서비스"
인터로조,119610,"안경, 사진장비 및 기타 광학기기 제조업","콘텍트렌즈(소프트렌즈, 원데이렌즈, 하드렌즈 등)"
하이텍팜,106190,기초 의약물질 및 생물학적 제제 제조업,주사제용 무균 원료의약품(Sterile Imipenem 외)
웨이포트,900130,"회사본부, 지주회사 및 경영컨설팅 서비스업","제초기류,톱류,전동공구류,원림청소기류"
크루셜텍,114120,전자부품 제조업,"옵티컬트랙패드, LED플래시모듈, PL Lens"
에스디시스템,121890,전자부품 제조업,"요금징수시스템, 지능형교통시스템,하이패스단말기"
알톤스포츠,123750,그외 기타 운송장비 제조업,"운송장비,부품,자전거외"
유비벨록스,089850,소프트웨어 개발 및 공급업,"모바일플랫폼 및 모바일솔루션, 스마트카드 등"
처음앤씨,111820,기타 정보 서비스업,"B2B 전자결제, B2B 공동구매"
오르비텍,046120,기타 과학기술 서비스업,"방사선안전관리, 항공기 정밀부품 제조 등"
한솔시큐어,070300,소프트웨어 개발 및 공급업,"USIM카드, 금융카드"
실리콘웍스,108320,반도체 제조업,"LDI, T-Con, PMIC, EPD-IC 등"
투비소프트,079970,소프트웨어 개발 및 공급업,"MiPlatform, X Platform"
인피니트헬스케어,071200,소프트웨어 개발 및 공급업,의료영상저장전송시스템(PACS)
모바일리더,100030,소프트웨어 개발 및 공급업,"Sync 솔루션, 멀티미디어 솔루션"
서진오토모티브,122690,자동차 부품 제조업,"Clutch,Flywheel,Driveplate,Bearing,ATparts"
이스트아시아홀딩스,900110,"회사본부, 지주회사 및 경영컨설팅 서비스업","스포츠화, 스포츠의류"
뉴프라이드,900100,자동차 부품 및 내장품 판매업,인터모달 신생 및 재생타이어
케이씨에스,115500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",컴퓨터시스템 통합 구축 및 철도 도로 교통인프라
씨케이에이치,900120,"회사본부, 지주회사 및 경영컨설팅 서비스업",건강보조식품
지트리비앤티,115450,전자부품 제조업,"임베디드 GUI 미들웨어 FXUI-2D, FXUI-3D"
삼기오토모티브,122350,자동차 부품 제조업,자동차부품
이미지스,115610,반도체 제조업,"터치스크린칩, 햅틱칩"
알비케이이엠디,106080,전자부품 제조업,휴대폰 카메라용 Auto Focus Actuator
인포바인,115310,전기통신업,"휴대폰인증서보관서비스(UBIKey), 유선전화결제서비스(Vinepay)"
차이나하오란,900090,"회사본부, 지주회사 및 경영컨설팅 서비스업",코팅백판지
모베이스,101330,통신 및 방송 장비 제조업,휴대전화 케이스
지스마트글로벌,114570,반도체 제조업,CMOS 이미지센서
스타플렉스,115570,플라스틱제품 제조업,"광고용 플렉스(조명용, 비조명용)"
우리넷,115440,통신 및 방송 장비 제조업,"광전송장비(MSPP), 교환장비(AGW)"
아세아텍,050860,특수 목적용 기계 제조업,"농기계(관리기,SS기, 이앙기) 제조"
우노앤컴퍼니,114630,화학섬유 제조업,"PVC가발사, 난연고열사"
코디,080530,기타 화학제품 제조업,"LCD 검사부품(프로브유니트), LED 검사부품(프로브카드)"
글로벌에스엠,900070,"회사본부, 지주회사 및 경영컨설팅 서비스업","자회사 제품 : IT기기용 정밀 화스너부품(스크류, 샤프트, 스프링)"
ITX엠투엠,099520,영상 및 음향기기 제조업,"DVR,유선통신기기 제조,무역/소프트웨어 자문,연구개발,기술용역"
KPX생명과학,114450,기초 의약물질 및 생물학적 제제 제조업,의약품 중간체 등
동양피엔에프,104460,일반 목적용 기계 제조업,뉴메틱 컨베잉 시스템(분체이송시스템)
멜파스,096640,전자부품 제조업,"터치센서 칩, 터치스크린 모듈, 터치키 모듈 제조"
위메이드,112040,소프트웨어 개발 및 공급업,미르의전설2
셀바스AI,108860,소프트웨어 개발 및 공급업,"필기 인식, 전자 사전, 모바일 OCR 소프트웨어 등"
에스앤씨엔진그룹,900080,"회사본부, 지주회사 및 경영컨설팅 서비스업","오토바이, 제초기, 자동차기어"
이원컴포텍,088290,자동차 부품 제조업,에어서스펜션 시트/일반고정형 시트/스프링서스펜션 시트
웰크론강원,114190,"구조용 금속제품, 탱크 및 증기발생기 제조업",플랜트설비(산업용 보일러)
휴맥스,115160,영상 및 음향기기 제조업,셋톱박스
에이프로젠 H&G,109960,통신 및 방송 장비 제조업,"차량용블루투스핸즈프리스피커폰, 가로동/보안등 어시스템, 모바일게임 퍼블리싱, 바이오의약품 연구개발업 및 판매, 생산설비 및 연구장비의 대여 및 판매"
동방선기,099410,선박 및 보트 건조업,선박용 배관 등
디엠씨,101000,특수 목적용 기계 제조업,"선박용 크레인,선박구성부품,선박의장품,철구조물 제조/철판 도매/부동산 임대"
진매트릭스,109820,자연과학 및 공학 연구개발업,"B형간염치료제 내성진단,C형간염바이러스 유전형진단, 자궁경부암유발바이러스 유전형진단"
비츠로셀,082920,일차전지 및 축전지 제조업,리튬1차전지
스틸플라워,087220,1차 철강 제조업,후육강관
한스바이오메드,042520,의료용품 및 기타 의약관련제품 제조업,"인체이식용조직(인조피부,인조뼈),의료용시술재료(가슴보형물)"
NHN벅스,104200,기타 정보 서비스업,"디지털음원유통, 온라인음악서비스"
아이앤씨,052860,반도체 제조업,지상파 DMB용 수신칩(모바일 TV용 SoC)
케이엔더블유,105330,플라스틱제품 제조업,"Blanket, DOF, 보호필름"
디에스케이,109740,특수 목적용 기계 제조업,"FPD용 PCB Bonding System, In-line System, Linear Motion System 등"
제넥신,095700,자연과학 및 공학 연구개발업,항체융합단백질 치료제 및 유전자치료 백신개발
톱텍,108230,특수 목적용 기계 제조업,평판디스플레이 제조용 자동화설비
동국S&C,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업",Wind-Tower
에스앤더블류,103230,일반 목적용 기계 제조업,"디젤엔진부품, 산업부품, 단조품"
게임빌,063080,소프트웨어 개발 및 공급업,모바일게임
동일금속,109860,금속 주조업,"크롤러크레인용 트랙슈 어셈블리, 굴삭기용 아이들러 트랙슈 스프링 등"
어보브반도체,102120,반도체 제조업,"반도체,전자제품,마이크로컨트롤라"
조이맥스,101730,소프트웨어 개발 및 공급업,"실크로드 온라인, 로스트사가"
차이나그레이트,900040,"회사본부, 지주회사 및 경영컨설팅 서비스업",스포츠화 및 의류
이엔에프테크놀로지,102710,기타 화학제품 제조업,LCD/반도체용 케미칼
스맥,099440,특수 목적용 기계 제조업,공작기계 및 산업용로봇제조
해덕파워웨이,102210,선박 및 보트 건조업,선박방향타
SDN,099220,기계장비 및 관련 물품 도매업,"태양광기자재 및 선박용엔진 도매, 태양광발전시스템 구축 및 설계"
한국정밀기계,101680,특수 목적용 기계 제조업,"금속절삭가공기계(수치제어식 수평보링머신,오면가공기,수직선반,플로우보링머신),산업기계(전용기,공작기계부품) 제조,판매"
흥국,010240,특수 목적용 기계 제조업,굴삭기 Roller 및 형단조품
한솔신텍,099660,"구조용 금속제품, 탱크 및 증기발생기 제조업",산업용 보일러
우림기계,101170,일반 목적용 기계 제조업,"트랜스미션,감속기,기어전동축 제조"
티플랙스,081150,기타 금속가공제품 제조업,"스텐레스봉,판(열간제품) 제조,도매"
세한엔에스브이,095300,일반 목적용 기계 제조업,밸브
에스티오,098660,봉제의복 제조업,"셔츠,자켓/바지, 타이"
에이테크솔루션,071670,특수 목적용 기계 제조업,"대형정밀금형(가전,자동차용 등)"
에스앤에스텍,101490,전자부품 제조업,블랭크마스크
뷰웍스,100120,의료용 기기 제조업,X-Ray Detector
코오롱생명과학,102940,기초 의약물질 및 생물학적 제제 제조업,"항균제, 수처리제, 원료의약 등"
네오피델리티,101400,반도체 제조업,디지털오디오앰프칩
파인테크닉스,106240,통신 및 방송 장비 제조업,"휴대폰부품, 소형LCD부품, LED조명기기"
이수앱지스,086890,의료용품 및 기타 의약관련제품 제조업,"항체치료제,효소치료제"
대성파인텍,104040,자동차 부품 제조업,"자동차부품(시트,도어) 제조"
유비쿼스홀딩스,078070,통신 및 방송 장비 제조업,"소프트웨어 개발,정보처리유선,무선통신기기,부품,컴퓨터 도소매,제조"
메디톡스,086900,기초 의약물질 및 생물학적 제제 제조업,"의약품원료(A형,B형 보툴리늄독소 단백질치료제) 제조,연구,개발"
엠게임,058630,소프트웨어 개발 및 공급업,"온라인 게임 개발 및 퍼블리싱(열혈강호온라인,홀릭2,영웅)"
아이컴포넌트,059100,전자부품 제조업,액정평판디스플레이용 플라스틱 박판필름 제조업
에이치엘비생명과학,067630,"건축기술, 엔지니어링 및 관련기술 서비스업","ESCO 사업, 신재생에너지 사업"
이크레더블,092130,기타 정보 서비스업,"전자신용인증서비스(정보),소프트웨어 개발"
SIMPAC Metal,090730,1차 철강 제조업,합금철
세운메디칼,100700,의료용품 및 기타 의약관련제품 제조업,"의료용구(체액배출기,도뇨관) 제조,도매,수출입"
마이크로컨텍솔,098120,전자부품 제조업,"BGA IC Burn-In Socket,DRAM Module Socket"
KJ프리텍,083470,플라스틱제품 제조업,"소형 BLU, 정밀 플라스틱 제품"
삼강엠앤티,100090,1차 철강 제조업,"후육강관제조업,조선블록제조업"
아이엠,101390,전자부품 제조업,DVD용광픽업등
웰크론한텍,076080,특수 목적용 기계 제조업,"에너지절감설비,자동화배합설비,환경설비"
코리아에스이,101670,"구조용 금속제품, 탱크 및 증기발생기 제조업","영구앵커,교량용케이블,타이케이블"
슈프리마에이치큐,094840,통신 및 방송 장비 제조업,지문인식솔루션및시스템
서울옥션,063170,상품 중개업,미술품경매
이스트소프트,047560,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W"
청담러닝,096240,일반 교습 학원,청담어학원
월덱스,101160,전자부품 제조업,반도체용링및전극
쎄트렉아이,099320,"항공기,우주선 및 부품 제조업","소형인공위성,지상시스템"
브리지텍,064480,소프트웨어 개발 및 공급업,"컨택센터솔루션,BcN솔루션,ASP서비스사업"
고영,098460,특수 목적용 기계 제조업,전자제품및반도체생산용 3차원 납도포검사장비
조이시티,067000,소프트웨어 개발 및 공급업,온라인게임(프리스타일농구)
우진비앤지,018620,의약품 제조업,"슈퍼티아,안티펜SM"
테스,095610,특수 목적용 기계 제조업,반도체장비(화학증착장비)
예스24,053280,무점포 소매업,"도서,음반/DVD,화장품"
엘디티,096870,반도체 제조업,"OLED구동IC,LED구동IC,LCD구동IC"
메타바이오메드,059210,의료용품 및 기타 의약관련제품 제조업,"생체분해성봉합사,근관충전재"
효성오앤비,097870,비료 및 질소화합물 제조업,"혼합유박비료,유기복합비료,혼합유기질비료"
네패스신소재,087730,합성고무 및 플라스틱 물질 제조업,반도체용EMC(EpoxyMoldingCompound)
텔레필드,091440,통신 및 방송 장비 제조업,광전송장비
이트론,096040,컴퓨터 및 주변장치 제조업,컴퓨터 및 주변장치 제조
에스맥,097780,통신 및 방송 장비 제조업,휴대폰용키모듈
에스코넥,096630,통신 및 방송 장비 제조업,WaferProber
일신바이오,068330,일반 목적용 기계 제조업,초저온냉동고및동결건조기
서원인텍,093920,통신 및 방송 장비 제조업,휴대폰용키패드및부자재
이씨에스,067010,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컨택센터용교환시스템,업무용교환시스템"
대창솔루션,096350,"구조용 금속제품, 탱크 및 증기발생기 제조업",내연기관구조재(선박엔진용MBS)
아이에스이커머스,069920,무점포 소매업,"해외, 국내 상품 소싱 및 판매대행 서비스"
알에프세미,096610,반도체 제조업,"마이크로폰용ECMChip,RFFilter"
디엔에프,092070,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체)
일진파워,094820,전기 및 통신 공사업,"열교환기,압력용기"
비엠티,086670,일반 목적용 기계 제조업,"정밀계장용피팅및밸브류,전원분배장치(MCPD)"
이엘케이,094190,전자부품 제조업,터치패널모듈
이엠코리아,095190,특수 목적용 기계 제조업,CNC공작기계등
현우산업,092300,전자부품 제조업,인쇄회로판(PCB)
다믈멀티미디어,093640,반도체 제조업,멀티미디어반도체
에스에너지,095910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","태양광발전시스템,태양전지모듈"
성우전자,081580,통신 및 방송 장비 제조업,휴대폰금속프레스부품(전자파차단ShieldCan)
엘엠에스,073110,"안경, 사진장비 및 기타 광학기기 제조업",프리즘시트
제이엠티,094970,전자부품 제조업,LCD패널용PBA
오디텍,080520,반도체 제조업,"광반도체,소자및모듈"
ISC,095340,전자부품 제조업,반도체테스트소켓
네오티스,085910,자동차 부품 제조업,"마이크로비트,샤프트"
미래나노텍,095500,플라스틱제품 제조업,LCDBLU용광학필름
상보,027580,전자부품 제조업,"광학필름,윈도우필름,미디어필름"
바이오톡스텍,086040,자연과학 및 공학 연구개발업,"안전성평가,유효성평가"
연이정보통신,090740,전자부품 제조업,"LCD,PDP및단말기용PBA"
옴니시스템,057540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","전자식전력량계,설비미터,원격검침시스템"
푸른기술,094940,컴퓨터 및 주변장치 제조업,"금융자동화기기모듈,역무자동화기기모듈,특수단말시스템"
웨이브일렉트로,095270,통신 및 방송 장비 제조업,이동통신중계기용전력증폭기
빅솔론,093190,컴퓨터 및 주변장치 제조업,"POS용프린터,프린팅메카니즘"
한솔넥스지,081970,소프트웨어 개발 및 공급업,"보안관제서비스,인터넷정보보안제품"
S&K폴리텍,091340,전자부품 제조업,고밀도폴리우레탄폼시트
네오디안테크놀로지,072770,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",무선인터넷플랫폼
갤럭시아컴즈,094480,소프트웨어 개발 및 공급업,전자결제
에코프로,086520,기타 화학제품 제조업,"환경소재,화학필터,이차전지소재등"
MP그룹,065150,음·식료품 및 담배 도매업,외식 프랜차이즈사업 및 식자재 유통
컴투스,078340,소프트웨어 개발 및 공급업,모바일게임
네오위즈,095660,소프트웨어 개발 및 공급업,"피망,스페셜포스"
넥스트칩,092600,반도체 제조업,영상처리용 시스템반도체
엔텔스,069410,소프트웨어 개발 및 공급업,운용지원솔루션
풍강,093380,기타 금속가공제품 제조업,자동차용너트류
동국제약,086450,의약품 제조업,"인사돌,복합마데카솔,파미레이"
케이프,064820,선박 및 보트 건조업,선박엔진용실린더라이너
상신이디피,091580,일차전지 및 축전지 제조업,2차전지부품
한라IMS,092460,선박 및 보트 건조업,"선용원격자동측정시스템,선용원격자동경보시스템"
에프알텍,073540,통신 및 방송 장비 제조업,이동통신용중계기
이엠텍,091120,전자부품 제조업,"마이크로스피커,리시버"
참좋은레져,094850,여행사 및 기타 여행보조 서비스업,"고급자전거,자전거용품및부품"
코닉글로리,094860,소프트웨어 개발 및 공급업,네트워크장비공급및인터넷트래픽솔루션
이베스트투자증권,078020,금융지원 서비스업,유가증권위탁매매
매커스,093520,기계장비 및 관련 물품 도매업,자일링스(Xilinx)비메모리반도체(PLDchip)유통
오스템임플란트,048260,의료용 기기 제조업,치과용임플란트
나노캠텍,091970,플라스틱제품 제조업,투명전도성관련제품
네오팜,092730,기타 화학제품 제조업,생체기능성(아토피)보습제
비에이치,090460,전자부품 제조업,연성인쇄회로기판(FPCB)
오스코텍,039200,의약품 제조업,"뼈이식재,건강식품소재"
켐트로닉스,089010,기타 화학제품 제조업,"Touch IC 및 PBA, TG, EMC"
제이스텍,090470,특수 목적용 기계 제조업,기계장비(디스플레이장비)
동아엘텍,088130,특수 목적용 기계 제조업,LCD검사장비
휴온스글로벌,084110,"회사본부, 지주회사 및 경영컨설팅 서비스업","비만치료제,국소마취제등"
케이씨티,089150,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","금융단말시스템,복표발매기,마권발매기"
파트론,091700,전자부품 제조업,이동통신안테나및유전체필터류등
디에스티로봇,090710,특수 목적용 기계 제조업,제조업용로봇및서비스로봇
유니테스트,086390,특수 목적용 기계 제조업,"반도체메모리주검사장비생산(메모리컴포넌트테스터,메모리모듈테스트)"
에스에이티,060540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","이동통신중계기용부품(제어기,광모듈,RF필터)"
큐에스아이,066310,반도체 제조업,레이저다이오드(LaserDiode)
멀티캠퍼스,067280,기타 교육기관,e-Learning서비스
화신테크,086250,특수 목적용 기계 제조업,자동차용프레스금형
고려반도체,089890,특수 목적용 기계 제조업,반도체SolderBall부착장비등
성창오토텍,080470,자동차 부품 제조업,"차량용에어컨필터,차량용공기청정기등"
넥스턴,089140,특수 목적용 기계 제조업,CNC자동선반
제이티,089790,특수 목적용 기계 제조업,반도체장비(Burn-in Sorter 등)
광진윈텍,090150,자동차 부품 제조업,시트히터
이녹스,088390,전자부품 제조업,"FPCB소재,반도체PKG소재,디스플레이소재,OLED소재"
THE E&M,089230,기타 정보 서비스업,무계목 강관 외
바텍,043150,의료용 기기 제조업,"치과용디지털X-ray기기(파노라마,CT)"
MDS테크,086960,소프트웨어 개발 및 공급업,"임베디드개발솔루션,임베디드소프트웨어"
루멘스,038060,반도체 제조업,LED개발 및 제조
CSA 코스믹,083660,플라스틱제품 제조업,"물탱크,상하수도용도류벽,축산탱크"
티엘아이,062860,반도체 제조업,LCDTV및모니터용TimingController
한국전자금융,063570,기타 사업지원 서비스업,"ATM관리사업,CD-VAN사업"
쇼박스,086980,"영화, 비디오물, 방송프로그램 제작 및 배급업",영화투자및배급
팬엔터테인먼트,068050,"영화, 비디오물, 방송프로그램 제작 및 배급업","방송영상물,음반"
루트로닉,085370,의료용 기기 제조업,의료용레이저기기
인포뱅크,039290,기타 정보 서비스업,"모바일메시징서비스,휴대폰단말기용S/W개발용역"
아이오케이,078860,소프트웨어 개발 및 공급업,LBS/Telematics솔루션및서비스
동우팜투테이블,088910,"도축, 육류 가공 및 저장 처리업","육계,삼계"
제이브이엠,054950,일반 목적용 기계 제조업,전자동정제분류포장시스템
팅크웨어,084730,통신 및 방송 장비 제조업,"내비게이션,블랙박스,태블릿 및 위치정보서비스"
진바이오텍,086060,동물용 사료 및 조제식품 제조업,"펩소이젠(식물성단백질),바이오스타치(가공전분),나투포멘(친환경생균제),락토케어(항생제대체형미생물제제)등"
정산애강,022220,플라스틱제품 제조업,"PB파이프,PB연결구"
에이스테크,088800,통신 및 방송 장비 제조업,"단말기용안테나,기지국용안테나"
셀트리온제약,068760,의약품 제조업,무선인터넷서비스및플랫폼
GST,083450,특수 목적용 기계 제조업,"GasScrubber,Chiller"
에너토크,019990,일반 목적용 기계 제조업,전동액츄에이터
제우스,079370,특수 목적용 기계 제조업,LCD제조용장비
한일네트웍스,046110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",서비스ASP
뉴프렉스,085670,전자부품 제조업,연성인쇄회로기판
유진테크,084370,특수 목적용 기계 제조업,실리콘질화막증착용LP-CVD
크리스탈,083790,자연과학 및 공학 연구개발업,신개념항생제(전임상)
바이로메드,084990,자연과학 및 공학 연구개발업,"기술이전수입,연구용시료"
바이오니아,064550,의료용품 및 기타 의약관련제품 제조업,"합성유전자,시약및유전자분석장비"
인콘,083640,통신 및 방송 장비 제조업,DVR(DigitalVideoRecoder)
차바이오텍,085660,기초 의약물질 및 생물학적 제제 제조업,"세포치료제 개발, 제대혈 보관 등"
대봉엘에스,078140,의약품 제조업,"원료의약품,화장품원료"
와이엔텍,067900,폐기물 처리업,"사업장폐기물중간및최종처리,전문건설,골재제조"
케이엠,083550,기타 섬유제품 제조업,클린룸용Wiper
수성,084180,일반 목적용 기계 제조업,전동지게차
한국코퍼레이션,050540,기타 사업지원 서비스업,"CRM서비스,CRM솔루션"
모다이노칩,080420,전자부품 제조업,"ESD필터,칩바리스터"
비에이치아이,083650,일반 목적용 기계 제조업,"보일러,열교환기등"
EMW,079190,통신 및 방송 장비 제조업,휴대폰안테나
동부라이텍,045890,전구 및 조명장치 제조업,"CNC전용장비,LightPanel"
루미마이크로,082800,반도체 제조업,백색발광다이오드(LED)
자연과환경,043910,환경 정화 및 복원업,"스테인레스파이프, 다공성식생블록,조경원예자재"
와토스코리아,079000,플라스틱제품 제조업,위생도기용부속(양변기용)
인프라웨어,041020,소프트웨어 개발 및 공급업,임베디드브라우저(WAP브라우저)
두올산업,078590,자동차 부품 제조업,자동차내장카페트
서린바이오,038070,기타 전문 도매업,생명과학연구기기및시약
가비아,079940,소프트웨어 개발 및 공급업,"도메인,호스팅"
덕산하이메탈,077360,반도체 제조업,솔더볼(Solderball)
아바코,083930,특수 목적용 기계 제조업,평판디스플레이제조용장비
하나마이크론,067310,반도체 제조업,"반도체패키징,USB플래쉬드라이브"
삼우엠스,082660,통신 및 방송 장비 제조업,휴대폰케이스
엘오티베큠,083310,특수 목적용 기계 제조업,반도체제조용진공펌프
이상네트웍스,080010,상품 중개업,기업간전자상거래서비스
아리온,058220,통신 및 방송 장비 제조업,디지털셋톱박스
메디포스트,078160,기초 의약물질 및 생물학적 제제 제조업,제대혈은행
우리이티아이,082850,전구 및 조명장치 제조업,"LCD광원부품(CCFL,EEFL)"
모두투어,080160,여행사 및 기타 여행보조 서비스업,"항공권판매수수료,해외여행알선"
셀트리온,068270,기초 의약물질 및 생물학적 제제 제조업,"단백질 의약품의 연구, 개발 및 제조"
가온미디어,078890,통신 및 방송 장비 제조업,디지털셋톱박스
쏠리드,050890,통신 및 방송 장비 제조업,"이동통신중계기,위성DMB용중계기"
옵트론텍,082210,"안경, 사진장비 및 기타 광학기기 제조업","IRFilter,Grating"
