회사명,종목코드,업종,주요제품
미래에셋제5호스팩,239340,금융지원 서비스업,기업인수합병
휴온스,243070,의약품 제조업,"전문의약품, 일반의약품"
원익IPS,240810,특수 목적용 기계 제조업,반도체 제조용 기계
레이언스,228850,의료용 기기 제조업,"TFT Detector, CMOS Detector, I/O Sensor"
씨엠에스에듀,225330,일반 교습 학원,융합사고력 프로그램
동양파일,228340,"시멘트, 석회, 플라스터 및 그 제품 제조업",PHC파일
팬젠,222110,의약품 제조업,"바이오시밀러 의약품 개발, 바이오의약품 개발 기술이전 서비스 등"
AP위성,211270,통신 및 방송 장비 제조업,위성통신 단말기
하이에이아이1호스팩,235010,금융지원 서비스업,기업 인수 및 합병
솔트웍스,230980,소프트웨어 개발 및 공급업,기업인수 및 합병
케이비제9호스팩,232270,금융지원 서비스업,기업인수
큐리언트,115180,자연과학 및 공학 연구개발업,저분자 혁신신약
안트로젠,065660,기초 의약물질 및 생물학적 제제 제조업,줄기세포치료제
슈프리마,236200,통신 및 방송 장비 제조업,바이오인식 관련 제품
아이엠텍,226350,전자부품 제조업,휴대폰용 안테나 및 카메라모듈
유니트론텍,142210,기계장비 및 관련 물품 도매업,"메모리, 비메모리반도체"
크리스탈신소재,900250,"회사본부, 지주회사 및 경영컨설팅 서비스업","합성운모 플레이크, 파우더, 테이프"
한솔씨앤피,221610,기타 화학제품 제조업,모바일 코팅제(도료)
에스와이패널,109610,"구조용 금속제품, 탱크 및 증기발생기 제조업",샌드위치 패널
코디엠,224060,특수 목적용 기계 제조업,"반도체 및 평판디스플레이 제조용 장비(IRIS, LOZIX, HP/CP)"
와이아이케이,232140,특수 목적용 기계 제조업,메모리 웨이퍼 테스터
육일씨엔에쓰,191410,전자부품 제조업,IT 용 Cover Glass
이에스브이,223310,소프트웨어 개발 및 공급업,"블랙박스, 내비게이션, 로봇청소기, 드론"
휴젤,145020,기초 의약물질 및 생물학적 제제 제조업,"보툴리눔톡신, 필러"
한국맥널티,222980,기타 식품 제조업,커피 및 의약품
덱스터,206560,"영화, 비디오물, 방송프로그램 제작 및 배급업","시각효과(Visual Effect, VFX)"
아진산업,013310,자동차 부품 제조업,자동차 차체 부품
강스템바이오텍,217730,기초 의약물질 및 생물학적 제제 제조업,줄기세포치료제
씨트리,047920,자연과학 및 공학 연구개발업,"씨트리시메티딘정, 로자틴정"
동부제4호스팩,230490,금융지원 서비스업,기업인수합병
메가엠디,133750,일반 교습 학원,"의학, 치의학, 법학 전문대학원, 약학대학 입학시험 대비 강의"
보광산업,225530,토사석 광업,"콘크리트용 부순골재, 아스콘, 레미콘"
파크시스템스,140860,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",연구용 및 산업용 원자현미경
