name,code,roe,pbr,per
비에이치아이,083650,3,1.66,16.51
두올산업,078590,8.21,2.21,12.65
서린바이오,038070,1.94,1.74,20.8
가비아,079940,1.47,1.61,16.03
엘오티베큠,083310,4.65,2.28,22.78
이상네트웍스,080010,4.67,1.11,13.78
모두투어,080160,7.8,5.38,35.17
셀트리온,068270,3.27,6.84,78.78
옵트론텍,082210,1.46,2.09,31.28
한창산업,079170,1.8,0.71,18.05
서산,079650,2.69,1.56,12.41
미래컴퍼니,049950,6.65,6.78,74.66
아이크래프트,052460,1.97,1.15,21.7
KG모빌리언스,046440,2.77,1.11,15.7
HB테크놀러지,078150,9.92,3.16,13.28
토비스,051360,2.74,0.98,9.6
신성델타테크,065350,4.25,0.69,52.58
한국경제TV,039340,3.81,1.17,8.58
코엔텍,029960,3.18,1.89,14.25
동국알앤에스,075970,1.66,0.62,24.9
넥센테크,073070,2.73,3.62,33.38
아프리카TV,067160,6.38,4.42,25.26
원익QnC,074600,5.15,2.2,7.5
로체시스템즈,071280,5.95,2.51,30.07
에버다임,041440,3.28,1.31,12.55
에스텍,069510,1.36,0.87,9.54
오텍,067170,3.92,1.97,17.15
중앙백신,072020,1.23,2.24,21.82
코스온,069110,2.21,3.58,31.15
티씨케이,064760,5.26,4.05,20.3
아모텍,052710,3.68,1.64,16.52
웹젠,069080,3.07,3.03,18.05
대화제약,067080,1.83,6.09,111.22
우수AMS,066590,2.74,1.39,12.41
하츠,066130,1.53,1,19.28
탑엔지니어링,065130,1.71,0.73,11.12
엘앤에프,066970,4.19,4.57,78.63
쎌바이오텍,049960,4.33,3.68,20.4
능률교육,053290,2.57,1.12,13.25
KG이니시스,035600,5.12,1.78,39.47
국보디자인,066620,5.39,1.39,11.56
리노스,039980,4.32,1.74,42.38
토탈소프트,045340,1.7,4.4,25.25
아비코전자,036010,1.98,1.23,10.14
우원개발,046940,1.7,1.18,10.46
인선이엔티,060150,1.46,1.69,550
전파기지국,065530,2.49,1.07,12.88
알에프텍,061040,1.66,0.98,11.5
이랜텍,054210,1.22,0.71,7.85
케이피티,054410,1.3,1.29,9.9
한진피앤씨,061460,1.47,2.96,19.48
케이엘넷,039420,3.37,2.25,46.04
에스티아이,039440,7.39,3.18,12.36
KT서브마린,060370,1.29,1.03,21.53
피씨디렉트,051380,4.87,1.16,24.16
한국기업평가,034950,3.9,2.56,16.96
동양에스텍,060380,3.85,0.7,8.18
고려신용정보,049720,3.5,2.56,11.81
서울반도체,046890,1.13,1.79,30.11
미코,059090,2.91,1.62,73.96
프럼파스트,035200,2.12,1.63,15.31
대동스틸,048470,7.5,0.93,12.69
NHN한국사이버결제,060250,3.45,2.66,25.24
동아화성,041930,2.72,0.8,4.97
리노공업,058470,3.35,3.49,19.96
성우테크론,045300,4.06,0.88,9.59
에스에프에이,056190,8.4,2.66,19.64
평화정공,043370,12.6,0.64,5.79
APS홀딩스,054620,347.18,1.51,11.38
YW,051390,1.39,0.61,19.23
에이디칩스,054630,4.39,4.14,20.65
포스코켐텍,003670,4.07,1.6,20.54
지에스이,053050,5.01,0.93,9.75
코데즈컴바인,047770,1.92,4.69,81.28
안랩,053800,1.16,2.72,36.92
JYP Ent.,035900,4.3,3.75,32.4
KCC건설,021320,4.32,0.68,12.75
프로텍,053610,5.3,1.17,10.93
태양,053620,1.25,0.64,7.83
W홀딩컴퍼니,052300,6.53,1.03,7.67
유아이엘,049520,1.85,0.87,9.54
한네트,052600,1.1,1.2,18.67
에이텍,045660,5.3,1.16,8.43
SK바이오랜드,052260,2.33,2.09,21.98
대아티아이,045390,2.8,1.78,13.62
코메론,049430,1.88,0.81,7.31
로엔,016170,6.36,7.13,33.31
삼화네트웍스,046390,2.3,1.55,8.26
KCI,036670,1.94,1.8,13.13
라온시큐어,042510,2.19,8.27,59.72
오로라,039830,3.62,1.14,15.81
금화피에스시,036190,2.05,1.29,9.07
코다코,046070,3.77,1.21,12.22
인바디,041830,2.67,4.01,21.92
크린앤사이언스,045520,3.94,1.85,14.41
포스코 ICT,022100,4.76,3.1,31.44
이-글 벳,044960,1.92,1.79,25.81
엔피케이,048830,1.77,1.25,20.83
삼천당제약,000250,2.85,2.6,37.5
정원엔시스,045510,2.6,2.09,31.41
한양이엔지,045100,4.02,1.07,4.4
에쎈테크,043340,1.72,3.7,57.6
이오테크닉스,039030,2.1,3.63,60.21
서울제약,018680,1.24,2.06,104.46
텍셀네트컴,038540,8.62,2.26,6.56
오공,045060,2.9,1.07,10.83
정상제이엘에스,040420,4.09,1.79,16.01
지니뮤직,043610,1.42,3.44,28.43
진성티이씨,036890,1.85,1.79,19.18
현대통신,039010,5.81,1.71,7.44
삼아제약,009300,1.23,0.83,13.04
에스씨디,042110,2.23,1.07,14.38
디오,039840,2.06,4.64,24.67
안국약품,001540,1.39,1.04,90.15
세중,039310,3.12,0.89,8.76
HRS,036640,2.56,0.97,18.19
에스에이엠티,031330,2.83,1.23,4.92
NICE평가정보,030190,5.62,3.31,18.15
나이스정보통신,036800,3.9,1.64,8.51
쎄니트,037760,2.14,1.18,10.63
제이콘텐트리,036420,4.1,5.36,23.64
케이엠더블유,032500,7.87,4.55,60.66
화성,039610,1.5,0.75,21.76
경남스틸,039240,1.32,0.69,63.39
레드캡투어,038390,2.08,1.06,13.3
GS홈쇼핑,028150,2.83,1.41,13.99
솔브레인,036830,2.06,2.11,16.19
에프에스티,036810,2.92,1.13,15.26
코맥스,036690,2.92,1.7,11.04
EG,037370,1.1,1.2,72.84
성도이엔지,037350,1.78,0.55,4.24
무림SP,001810,1.76,0.43,30.64
이테크건설,016250,4.59,1.68,11.22
서희건설,035890,3.08,0.92,7.57
주성엔지니어링,036930,9.03,4.11,18.64
다우데이타,032190,2.89,1.05,20.22
동진쎄미켐,005290,5.21,3.72,27.09
씨티엘,036170,1.05,1.1,121.6
한국팩키지,037230,2.14,1.53,19.84
삼지전자,037460,2.1,0.94,6.27
SK머티리얼즈,036490,5.87,4.93,19.16
유니셈,036200,6.25,3.23,35.62
유성티엔에스,024800,1.81,0.59,9.54
예림당,036000,9.15,2.62,44.23
CJ오쇼핑,035760,3.13,1.27,51.21
이지바이오,035810,3.98,1.17,15.88
카카오,035720,1.56,1.96,113.96
바른손이앤에이,035620,11.75,4.94,5.7
신일제약,012790,2.54,1.26,11.49
동국산업,005160,1.88,0.67,10.35
매일유업,005990,1.12,0.96,10.27
한국정보통신,025770,5.04,3.07,16.16
파라텍,033540,3.41,1.05,23.06
디케이디앤아이,033310,2.7,1.1,11.13
엠케이전자,033160,2.48,0.85,9.9
제이씨현시스템,033320,3.48,1.98,30.57
포스코엠텍,009520,2.54,1.45,35.67
스페코,013810,1.22,1.71,16.69
코웰패션,033290,6.83,2.69,17.93
코콤,015710,2.71,1.61,22.09
디지틀조선,033130,2.42,1.34,18.92
와이지-원,019210,1.54,1.21,17.55
하림홀딩스,024660,2.68,1.09,12.66
아이즈비전,031310,1.49,0.83,15.25
동일기연,032960,1.46,0.87,13.87
원익,032940,2.26,0.74,1.11
유비케어,032620,2.59,3.09,28.81
피에스케이,031980,4.3,1.86,18.79
세보엠이씨,011560,5.31,0.98,8.46
원익홀딩스,030530,2.53,1,2.72
한글과컴퓨터,030520,4.42,2.34,26.32
대호피앤씨,021040,6.82,1.52,11.3
삼목에스폼,018310,2.8,0.73,4.63
에이스침대,003800,1.72,0.9,12.82
리드코프,012700,3.24,0.71,6.19
에머슨퍼시픽,025980,2.18,1.71,19.86
성우하이텍,015750,2.62,0.51,14.21
동신건설,025950,4.05,0.74,9.91
동화기업,025900,2.28,0.82,13.79
케이씨피드,025880,2.3,0.81,50
한탑,002680,1.4,0.9,57.24
한국선재,025550,2.1,0.96,32.84
대성엘텍,025440,2.47,2.75,68.25
시노펙스,025320,3.98,1.61,27.39
삼천리자전거,024950,1.6,1.37,20.16
보령메디앙스,014100,1.6,3.29,51.91
갑을메탈,024840,3.89,1.45,21.21
경창산업,024910,1.02,0.63,11.65
대륙제관,004780,2.32,1.21,7.75
동원개발,013120,4.38,0.88,4.55
케이피에프,024880,1.91,0.5,15.37
KB오토시스,024120,2,1.07,5.75
신원종합개발,017000,2.96,1.51,32.74
대한약품,023910,5.67,2.08,10.94
아트라스BX,023890,2.19,0.94,9.82
풍국주정,023900,2.36,0.84,9.97
한일사료,005860,2.65,1.62,41.33
CNH,023460,1.2,0.56,18.18
유진기업,023410,1.82,0.64,7.35
신라섬유,001000,1.05,3.73,190.91
원일특강,012620,1.67,0.5,9.16
서한,011370,6.93,1.12,3.67
진로발효,018120,2.6,2.94,13.72
푸른저축은행,007330,2.31,0.45,4.64
피제이전자,006140,1.73,0.85,10.7
엠에스씨,009780,2.96,1.86,11.22
대원산업,005710,3,0.65,3.38
큐캐피탈,016600,1.65,1.4,32.79
한국가구,004590,1.49,0.81,11.57
포비스티앤씨,016670,1.19,1.36,34.73
삼륭물산,014970,2.31,1.2,8.65
경동제약,011040,3.02,1.11,14.89
한일화학,007770,1.56,0.59,16.34
한국알콜,017890,1.83,0.74,6.2
세명전기,017510,1.39,1.26,25.36
피에스텍,002230,1.32,0.75,22.32
하이록코리아,013030,1.45,1.11,11.27
SBI인베스트먼트,019550,1.14,1.25,34.26
